Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\set-zoom-position\set-zoom-position.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\set-zoom-position\set-zoom-position.component.ts;0,0;-2,6789999999999985;0,018000000000000002;-0,3279999999999994;258,95600000000013;8,0;14,385999999999996;4,0;4,0;4,0;wholeBlockFile,"zoomCoordinates",DecoratorTypesService,"true";0,0;4,0;;1,0;2,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\zoom-management.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\zoom-management.component.ts;0,0;-0,13600000000000012;0,11299999999999999;0,29299999999999926;18813,66499999992;40,0;1045,2030000000013;3,0;3,0;20,0;wholeBlockMethod,DecoratorTypesService,"zoom";0,0;20,0;;7,0;10,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\puzzle-builder-routing.module.ts;0,0;-1,0990000000000002;0,010000000000000009;-0,15500000000000025;149,58799999999997;5,0;8,310999999999993;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\puzzle-builder.module.ts;0,0;0,0;0,02799999999999958;2,8690000000000033;61208,757999999914;5,0;3400,485999999997;3,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;1,0;3,0;.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\dynamicInstantiation\component-factory.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\dynamicInstantiation\component-factory.service.ts;0,0;-1,4289999999999985;0,01200000000000001;-0,4529999999999994;239,5009999999993;5,0;13,305000000000007;2,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\game-configuration.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\game-configuration.service.ts;0,0;-0,01200000000000001;0,018000000000000016;-0,5060000000000002;-984,9070000000065;5,0;-54,71700000000055;2,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;0,0;3,0;;7,0;1,0;
